avgTemp,minTemp,maxTemp,fainFall,avgPrice
1.9,5.9,15.4,0.7,2117
1.3,4.1,19.9,0.6,1978
1.7,13.3,21.3,37.3,1978
3.4,11.2,18.7,2.3,1978
1.5,9.5,21.9,0,1889
2.2,10.8,22.5,0,1769
1.1,7.4,21.3,0,1735
1.7,8.5,21.8,0,1735
1.3,9.5,19.3,1.1,1650
2.5,13.7,24.2,1.2,1650
1.5,12.3,25.5,0,1650
2,14.1,24.6,5.7,1594
2,15.2,22.6,41.3,1594
2.9,14,18.1,46.4,1611
1.7,11.6,19.3,2.9,1593
3.6,10,22.2,0,1585
3.2,11.1,24.3,0,1585
2.9,9.3,25.6,0,1585
2.5,11.2,22.5,0,1590
1.7,8.6,23.5,0,1349
1.4,10.4,26.1,0,1313
1.6,15,25.8,0.1,1217
1.2,16.4,24.5,3.3,1220
1,14.3,22.1,4.4,1220
1.1,13,22.1,1.8,1220
1,12,20.4,3.5,1282
1.1,9.8,26.1,0,1272
1.1,13.2,24.8,0,1263
1.6,14.3,19,6.2,1150
1.7,14,20.1,0.7,1142
1.1,13.5,24.9,0,1142
1.7,13.9,26.1,0,1142
1.6,13.6,25.2,0,1192
1.5,15.3,20,2,1196
1.2,14.5,22.2,11.6,1169
1.2,14.7,24.3,0,1212
1.6,14.2,26.1,0,1212
2.5,16.5,26,0.1,1212
1.4,16.1,28.3,0,1212
1.3,14.6,27.8,0,1212
1.4,15.1,28.3,0,1250
1.4,15.7,28.8,0.4,1236
1.7,17.3,25.6,0.3,1227
0.8,17.7,25.1,2.8,1222
1.1,17,29.6,1.4,1222
1.5,17.6,28.3,0.8,1222
1.7,16.8,25.8,0.1,1211
1.2,15.8,27.4,0,1211
1.3,17,27.2,0.1,1216
1.7,17.2,28.5,0,1292
1.2,16.6,28.1,0,1287
1.2,18.2,27.3,1.5,1287
1.3,17.1,29.5,0,1287
1.8,17.5,29.9,0.8,1201
2.1,18.5,31.5,0.1,1167
1.3,20.9,27.3,22.1,1178
2.6,22.5,28.4,21.6,1178
2.4,19.8,25.5,52.1,1179
2.6,18.4,21.8,54.1,1179
4.6,18.3,23.2,48.3,1179
2.1,18.6,25.2,3.4,1200
1.8,18.4,29.6,4.7,1199
1.4,21.8,28.8,34,1189
1.3,21.9,28.2,19.4,1318
1.4,21.9,29.6,0.8,1385
1.2,22.2,30.7,2.1,1385
1.4,22.1,26.5,49.1,1385
2.5,20.5,29,9,1465
1.3,19,30.4,0,1492
0.9,19.5,27,4.2,1614
1,20.9,25.7,21.8,1653
1.6,22.5,27.3,22.6,1718
1.1,21.2,26.1,84.4,1718
0.8,21,26.6,57.2,1718
1,20.7,27,20.6,1734
0.6,21.8,26.8,30.7,1786
0.7,22.8,27.2,8.9,1923
0.9,23.3,28.6,20.4,2158
1.1,23.2,30.1,6.8,2198
1.1,22.8,30.5,9.3,2198
0.8,22.6,31.4,2.9,2198
2.5,22.8,32,0.1,2287
4.2,23.7,31.8,0.7,2287
2.2,22.4,31.8,0,2331
1.8,20.8,28.9,1.4,2648
1.7,20.1,26.6,3.6,2743
1.2,21.4,29.1,2.1,2743
1,22.1,27,14.1,2743
1.1,21.6,28.6,6,3003
1.3,22.6,29.8,17.5,3075
1.1,24,29,55.6,3155
1.1,24,30.7,12.1,3435
1.3,23.9,31.4,7.7,3548
1.1,23.7,30.6,6.5,3548
0.7,23.2,29.2,13.3,3548
1.6,23.3,28.2,33.6,3723
1.6,23.3,28.8,13,3764
1.2,23.4,30.6,9.3,3975
0.8,23.4,31.8,2.9,3979
1.1,23.3,33.2,0.1,3976
1.3,24.1,31.8,2.5,3976
2.6,24.4,30.8,32.9,3976
2.8,23.9,29.9,28.8,4294
0.9,23.3,27.5,35.9,4294
1.9,23.9,29.3,11.9,4294
1.5,24.1,31.5,5.9,4430
0.9,23.9,30.2,15.6,4043
1,23.5,29.7,6.4,4043
1.2,23.5,30.6,4.4,4043
1.3,23.3,30.1,1.7,4043
1.1,23.7,30.6,12.6,3913
1.1,23.6,28.1,25.6,3930
1.4,22.2,28.7,5.6,3930
1.1,20.7,25.5,3.5,3993
1,19.1,23.7,15,3993
1.1,18.3,27.9,2.9,3993
1,18.6,25.7,2,3993
